site,pv_kwp,battery_kwh,mult,capex,stress,battery_life_yr,cash_day,ch4_kg_per_day,payback
London,1500.0,1500.0,0.6,2132941.9475780525,1.0185615321451544,10.062988164774291,346.8030280096974,87.1344164343431,inf
London,1500.0,1500.0,0.625,2162439.528727138,1.0185615321451544,10.062988164774291,344.3785692851151,87.1344164343431,inf
London,1500.0,1500.0,0.65,2191937.1098762234,1.0185615321451544,10.062988164774291,341.9541105605327,87.1344164343431,inf
London,1500.0,1500.0,0.675,2221434.691025309,1.0185615321451544,10.062988164774291,339.5296518359503,87.1344164343431,inf
London,1500.0,1500.0,0.7,2250932.2721743947,1.0185615321451544,10.062988164774291,337.1051931113679,87.1344164343431,inf
London,1500.0,1500.0,0.725,2280429.85332348,1.0185615321451544,10.062988164774291,334.68073438678556,87.1344164343431,inf
London,1500.0,1500.0,0.75,2309927.4344725655,1.0185615321451544,10.062988164774291,332.25627566220317,87.1344164343431,inf
London,1500.0,1500.0,0.775,2339425.015621651,1.0185615321451544,10.062988164774291,329.83181693762083,87.1344164343431,inf
London,1500.0,1500.0,0.8,2368922.5967707364,1.0185615321451544,10.062988164774291,327.40735821303844,87.1344164343431,inf
London,1500.0,1500.0,0.825,2398420.177919822,1.0185615321451544,10.062988164774291,324.9828994884561,87.1344164343431,inf
London,1500.0,1500.0,0.85,2427917.7590689072,1.0185615321451544,10.062988164774291,322.5584407638737,87.1344164343431,inf
London,1500.0,1500.0,0.875,2457415.3402179927,1.0185615321451544,10.062988164774291,320.13398203929137,87.1344164343431,inf
London,1500.0,1500.0,0.9,2486912.9213670786,1.0185615321451544,10.062988164774291,317.709523314709,87.1344164343431,inf
London,1500.0,1500.0,0.925,2516410.502516164,1.0185615321451544,10.062988164774291,315.2850645901266,87.1344164343431,inf
London,1500.0,1500.0,0.95,2545908.08366525,1.0185615321451544,10.062988164774291,312.86060586554424,87.1344164343431,inf
London,1500.0,1500.0,0.975,2575405.6648143353,1.0185615321451544,10.062988164774291,310.4361471409618,87.1344164343431,inf
London,1500.0,1500.0,1.0,2604903.2459634207,1.0185615321451544,10.062988164774291,308.01168841637946,87.1344164343431,inf
London,1500.0,2500.0,0.0,1675000.0,1.0523381897376316,10.551425750882084,410.3703756527848,91.46067980016417,inf
London,1500.0,2500.0,0.025,1704497.5811490854,1.0523381897376316,10.551425750882084,407.94591692820245,91.46067980016417,inf
London,1500.0,2500.0,0.05,1733995.162298171,1.0523381897376316,10.551425750882084,405.52145820362006,91.46067980016417,inf
London,1500.0,2500.0,0.075,1763492.7434472565,1.0523381897376316,10.551425750882084,403.09699947903766,91.46067980016417,inf
London,1500.0,2500.0,0.1,1792990.3245963422,1.0523381897376316,10.551425750882084,400.6725407544553,91.46067980016417,inf
